Lat,Long
14.0026,120.9934
9.724,124.1377
14.585,120.979
14.5811,120.9831
16.9324,121.0786
10.2127,118.777
11.9651,121.9284
13.2578,123.6856
12.9956,123.3542
17.5759,120.3883
9.8408,126.157
8.874,119.945
14.5828,120.9772
14.234,121.4156
7.0833,125.25
