Place,Lat,Long
Place 10,14.0026,120.9934
Place 11,9.724,124.1377
Place 12,14.585,120.979
Place 13,14.5811,120.9831
Place 14,16.9324,121.0786
Place 15,10.2127,118.777
Place 16,11.9651,121.9284
Place 17,13.2578,123.6856
Place 18,12.9956,123.3542
Place 19,17.5759,120.3883
Place 20,9.8408,126.157
Place 21,8.874,119.945
Place 22,14.5828,120.9772
Place 23,14.234,121.4156
Place 24,7.0833,125.25
